#{"t_start": 1754094254.136626, "env_id": "None"}
r,l,t
85.801268,365,300.153528
32.888589,365,300.305839
58.346574,365,301.490931
63.891341,365,301.698003
29.682857,365,301.872012
87.848728,365,302.029001
87.825418,365,302.183012
25.935015,365,302.335795
47.957225,365,303.548093
30.695777,365,303.742096
-19.570275,365,303.912746
82.652999,365,304.072748
22.820729,365,304.225745
115.916953,365,304.4261
46.939391,365,306.056767
68.894652,365,306.301863
82.282124,365,306.532865
4.726779,365,306.767986
62.50564,365,307.007986
63.742946,365,308.35801
112.717368,365,308.570257
-4.452771,365,308.744322
109.322923,365,308.908617
69.575735,365,309.0718
82.482339,365,309.226796
60.202061,365,310.772168
60.082026,365,311.013264
61.583131,365,311.249487
47.604926,365,311.492555
110.620829,365,311.692356
49.605554,365,312.993521
96.129366,365,313.20452
63.090381,365,313.376234
44.483672,365,313.543338
42.988589,365,313.699425
65.41272,365,313.853334
33.08593,365,315.069731
28.405809,365,315.26673
-6.166066,365,315.432821
-7.856536,365,315.59414
13.020034,365,315.74578
111.492182,365,315.90279
63.57401,365,317.205268
53.398353,365,317.388263
46.52449,365,317.562641
132.646169,365,317.728153
10.536919,365,317.89115
-1.967737,365,319.124308
82.021177,365,319.327552
-0.17141,365,319.503668
100.8921,365,319.667729
6.385312,365,319.825714
76.949028,365,319.982806
115.48002,365,321.252836
45.579136,365,321.437856
67.0979,365,321.601319
63.197597,365,321.762335
-19.542351,365,321.918367
117.115023,365,323.107539
31.369336,365,323.326663
103.283204,365,323.501634
38.694029,365,323.682901
12.819817,365,323.860885
30.230396,365,324.03236
90.422107,365,325.303886
39.319674,365,325.555067
50.720143,365,325.743268
86.653586,365,325.916474
90.777038,365,326.086509
71.963029,365,326.246058
29.615907,365,327.605245
73.212402,365,327.785252
52.974459,365,327.955217
119.553579,365,328.117221
13.811134,365,328.269224
54.843422,365,329.48502
94.81006,365,329.687822
68.425724,365,329.863899
68.850657,365,330.02892
97.602573,365,330.184902
64.634926,365,330.338914
43.045294,365,331.574404
75.480156,365,331.765386
28.608782,365,331.932402
91.758968,365,332.092394
67.533602,365,332.243397
66.652836,365,333.407576
61.698726,365,333.626672
96.644536,365,333.80347
50.491858,365,333.975479
82.714848,365,334.138466
89.554063,365,334.292587
100.484399,365,335.501109
53.854205,365,335.707115
70.525251,365,335.88313
41.640076,365,336.04711
24.768584,365,336.204199
85.127316,365,336.355109
64.948631,365,337.562883
86.001415,365,337.747951
88.790969,365,337.917897
16.380238,365,338.0798
69.436809,365,338.2388
25.719028,365,339.429275
78.681214,365,339.629367
65.167684,365,339.809366
81.943911,365,339.976461
86.725334,365,340.135444
59.975603,365,340.28945
77.939707,365,341.472155
104.589158,365,341.65807
36.559617,365,341.822157
53.67269,365,341.980233
80.899836,365,342.133229
50.724441,365,342.287272
19.008255,365,343.52768
61.816023,365,343.70868
70.935104,365,343.875772
88.788981,365,344.033775
-92.811361,365,344.185769
33.889624,365,345.402106
51.970174,365,345.608147
48.016946,365,345.780654
5.212393,365,345.95158
54.589258,365,346.117128
56.441289,365,346.279109
86.384809,365,347.521479
57.07156,365,347.712713
113.889357,365,347.903704
69.507896,365,348.096616
24.241861,365,348.296707
68.569851,365,349.551938
60.876809,365,349.765027
54.551692,365,349.943019
109.378621,365,350.102035
64.936127,365,350.262807
39.644777,365,350.453774
77.197674,365,351.837959
113.538924,365,352.034054
43.652144,365,352.203049
60.175142,365,352.363054
96.90639,365,352.51605
73.686055,365,352.668049
81.817798,365,354.024443
46.639533,365,354.260905
168.337391,365,354.472097
105.395681,365,354.641093
32.479529,365,354.800106
133.511353,365,356.038053
28.705556,365,356.236059
79.495789,365,356.409059
155.921244,365,356.56914
117.514329,365,356.721058
59.379613,365,356.876055
88.787448,365,358.120081
125.036297,365,358.30595
134.24402,365,358.487534
98.498244,365,358.65153
76.225064,365,358.812347
62.273076,365,360.006084
113.991673,365,360.214175
89.144863,365,360.391867
95.101815,365,360.562877
120.978997,365,360.719898
59.591213,365,360.873902
67.731916,365,362.109696
58.707604,365,362.317803
85.067194,365,362.491284
65.201309,365,362.655282
133.783754,365,362.810386
100.815592,365,362.965279
138.261825,365,364.209003
122.949627,365,364.389099
130.954848,365,364.568088
73.475356,365,364.730089
86.886135,365,364.884088
128.232271,365,366.097111
61.825484,365,366.329128
112.814969,365,366.505514
128.630152,365,366.69551
53.440218,365,366.866391
68.834877,365,367.033489
133.750904,365,368.3042
120.034379,365,368.507644
115.922191,365,368.688565
86.068715,365,368.860564
90.576443,365,369.040009
113.140804,365,370.306483
65.710868,365,370.532486
107.254998,365,370.724586
85.968689,365,370.902581
110.299027,365,371.076586
96.272752,365,371.24158
168.80292,365,372.520946
62.620128,365,372.727957
91.553354,365,372.910932
97.226987,365,373.081911
101.413151,365,373.251853
69.84686,365,373.417948
74.906734,365,374.734408
127.162421,365,374.931466
71.775693,365,375.108467
114.469796,365,375.281557
72.388535,365,375.449352
147.456609,365,376.740277
123.485052,365,376.958273
109.180607,365,377.135274
168.188109,365,377.30029
104.585667,365,377.459545
9.633247,365,377.628578
68.140203,365,378.967852
141.137956,365,379.177857
110.478138,365,379.351853
80.007312,365,379.514943
128.817158,365,379.671853
147.75994,365,379.829648
68.750042,365,381.072338
110.531186,365,381.251411
139.722258,365,381.409327
137.902233,365,381.562315
98.627507,365,381.715917
112.849487,365,382.917598
77.515795,365,383.118714
117.23764,365,383.296713
111.913482,365,383.463716
75.015898,365,383.625713
102.306164,365,383.778712
125.070753,365,384.99619
77.654848,365,385.184287
143.694884,365,385.362434
132.39591,365,385.523432
185.240148,365,385.682414
131.491895,365,386.842327
127.31409,365,387.054448
56.75799,365,387.231453
168.987349,365,387.390438
100.410895,365,387.543451
144.908352,365,387.695458
176.073987,365,388.926502
122.092802,365,389.119598
143.392858,365,389.283508
94.015877,365,389.437606
29.51906,365,389.590595
35.559235,365,389.743558
145.561939,365,390.994021
138.965659,365,391.17186
79.157633,365,391.331866
178.629115,365,391.483861
166.580769,365,391.635857
162.354327,365,392.843546
99.544295,365,393.045641
84.461788,365,393.214642
172.39746,365,393.369624
99.509101,365,393.521637
148.270825,365,393.679405
148.889996,365,394.910833
83.451993,365,395.097895
138.248502,365,395.258685
168.26003,365,395.416773
128.000417,365,395.571162
186.634702,365,396.81146
